genre,description,year,ancestor
Midwest emo,subgenre of emo,,emo
Midwest hip-hop,subgenre of hip-hop,1992,American hip-hop
Milanese song,music genre,,song
Milonga-candombe,music genre,,
Milwaukee hip hop,music scene,,American hip-hop
Minangkabau music,music tradition,,music of Indonesia
Mingaku,Japanese traditional music based on Ming-era Chinese music,,music of Japan
Mini-jazz,a reduced méringue-compas band format,,konpa
Minneapolis sound,"subgenre of funk rock with elements of synth-pop and new wave, pioneered by Prince in the late 1970s",1978,funk rock
Minnelied,type of love song from the German Minnesang tradition,,love song
Minnesang,tradition of lyric- and song-writing in Germany that flourished in the Middle High German period; type of love song,,lyric poetry
Minshingaku,Japanese traditional music based on Ming and Xing-era Chinese music,,
Mirabi,music genre,,music of South Africa
Miroloi,music genre,,dirge
Mirror fugue,music genre,1680,fugue
Mixed music,music combining acoustic instruments and fixed-media electronics,,contemporary classical music
Miyako folk music,music genre,,Ryukyuan music
Mizo music,music genre,,music of India
Mizrahi Rock music,Music genre,,rock music
Mizrahi music,music genre in Israel,,music of the Middle East
Moldovan folk music,music genre,,European folk music
Mongolian folk music,music genre,,music of Mongolia
Mongolian hip hop,music genre or scene,,Asian hip-hop
Mongolian pop,music genre or scene,,pop music
Mongolian throat singing,music genre,,Central Asian throat singing
Montenegrin folk music,music genre,,Balkan folk music
Montenegrin hip hop,music genre and scene,,music of Montenegro
Montuno,music genre,,
Moorish music,music genre,,music of North Africa
Moravian Church music,music genre,,church music
Moravian folk music,music from the Moravian region of Czechia,,music of Moravia
Mordovian music,music of Mordvin people,,music of Russia
Mordvin folk music,music genre,,Mordovian music
Moresche,renaissance music genre,,villanella
Mormon folk music,music genre,,traditional folk music
Mormon music,music genre,,religious music
Moroccan chaabi,music genre in Morocco,,chaabi
Moroccan hip-hop,music genre or scene,,African hip-hop
Moroccan pop,music genre or scene in Morocco,2005,pop music
Morris music,instrumental music played for English Morris dancing,,English folk music
Mossi music,music genre,,music of Burkina Faso
Motown,genre of music,,pop soul
Mozambique,"style of vigorous music, developed by Pello el Afrokan (Pedro Izquierdo) in Cuba in 1963, and subsequently adapted by Eddie Palmieri in New York in the 1960s in a quite different form",,music of Cuba
Mozarabic chant,"liturgical plainchant repertory of the Visigothic/Mozarabic rite of the Catholic Church,",550,plainsong
Muisca music,Muiscas,,music of Colombia
Munich sound,music genre,,disco
Music in the Elizabethan era,period in the musical history of the Kingdom of England,,
Muwashshah,music genre,,Arabic music
Myanmar song,music genre,,
Métis fiddle,Style of fiddle playing of the Métis people,,Canadian folk music
Métis music,music genre,,indigenous music of North America
Māori music,music genre,,music of Polynesia
Māori showband,music genre,,pop music
NOLA sludge,music genre or scene,,music of New Orleans
NS-rap,music genre,,hip-hop
Na mele paleoleo,music genre,,hip-hop
Naamyam,Chinese folk music,,Chinese traditional music
Naattupurapaattu,music genre,,traditional folk song
Nagoya kei,music genre,,visual kei
Nahua music,music genre,,Mesoamerican music
Nakyangchun,Goryeo court music,,Korean court music
Nanbu Ushiouta,music genre,,min'yō
Nangma,music genre,,
Nanjing baiju,type of folk singing,,
Nashville sound,subgenre of country music,1957,country music
National Socialist black metal,genre of black metal promoting Nazism or related ideologies,1992,black metal
Native American hip hop,music genre or scene,2000,hip-hop
Native American new age music,music genre,,new age music
Natya Sangeet,music genre,,
Navajo music,traditional and contemporary music of the Navajo people,,indigenous music of North America
Navarese jota,music genre and type of dance,,folk dance
Nazrul Geeti,songs composed by Nazrul Islam,,music of Bengal
Ndombolo,music genre and type of dance,,music of Central Africa
Nederbeat,"Dutch musical genre, movement",1963,beat music
Nederpop,music genre or scene,1963,pop music
Neo GS,music genre,,music of Japan
Neo-Balkan music,music genre,,
Neo-Canterbury,music genre or scene,,Canterbury scene
Nepalese hip hop,form of dance and music in Nepal,,Asian hip-hop
Nepalese rock,rock music of Nepal,,rock music
Neue Deutsche Härte,subgenre of rock music,1990,alternative metal
Neue Deutsche Todeskunst,musical genre that developed in Germany in the late 1980s,,music of Germany
Neue Deutsche Welle,genre of German music originally derived from punk rock and new wave music,1976,punk rock
Neue Musik,"collective term for a vast number of different currents of composed, Central European influenced music from about 1910 to the present",,classical music
Neue Volksmusik,music genre,,music of Germany
Neues Geistliches Lied,"music genre of songs in German intended for church usage, and based on contemporary lyrics and with music by contemporary composers",1962,pop music
New Big Band,music genre,,big band music
New Complexity,music genre,,postmodern music
New Direction,"works and events of Russian sacred music, written mainly from 1895 to 1923",,Russian liturgical music
New German School,German music movement in the second half of the 19th century,,Romantic music
New Jersey sound,1980s variant of house music,1987,garage house
New Mexico music,genre of folk music that originated in New Mexico,1300,Latin music
New Orleans blues,variation of Louisiana blues,,Louisiana blues
New Orleans brass band music,music genre,,music of New Orleans
New Orleans hip-hop,regional style of hip-hop,,music of New Orleans
New Orleans jazz,music genre,,jazz
New Orleans rhythm and blues,music genre,1945,early R&B
New Orleans soul,music genre,1963,soul
New Partisans,1980s Yugoslav music movement,,popular music in Yugoslavia
New Primitivism,"subcultural movement established in Sarajevo, SR Bosnia-Herzegovina, SFR Yugoslavia in March 1983",1983,rock music
New Romantic,1970s British pop culture movement,1979,new wave
New Simplicity,music genre and movement,,20th-century classical music
New Venice School,music genre,,
New Weird America,subgenre of psychedelic folk music of the mid-late 2000s,,music of the United States
New York blues,music genre,,blues
New York death metal,music genre or scene,,death metal
New York drill,music genre or scene,,music of New York City
New York hardcore,"hardcore punk and metalcore music created in New York City, and the subculture associated with that music",1982,hardcore punk
New York jazz,music genre or scene,,jazz
New York punk,punk rock that was born in New York in the 1970s,,punk rock
New York soul,soul music recorded and produced in New York City,,soul
New Yorkshire,music genre,2002,indie rock
New Zealand hip-hop,music genre or scene,,hip-hop
New Zealand jazz,music genre or scene,,jazz
New Zealand reggae,music genre or scene,,reggae
New Zealand rock music,music genre or scene,,rock music
New wave of traditional heavy metal,Mid-2000s musical movement,,traditional heavy metal
Newa folk music,music genre,,Newar music
Newar music,music of the Newar people of Nepal,,music of Nepal
Newfoundland folk music,music genre,,music of Newfoundland and Labrador
Ngoma music,"East-Central African drumming-and-dance tradition whose Bantu/Swahili name denotes simultaneously the drum, music, dance, and social event; encompasses life-cycle ceremonies, healing, and celebrations",,African folk music
Nguni folk music,music genre,,Southern African folk music
Nicaraguan polka,music genre,,
Nigerian gospel,sacred music of Nigeria,,gospel music
Nigerian hip hop,music genre or scene,,African hip-hop
Nigerian reggae,music genre,,reggae
Nigerien hip hop,music genre or scene,,African hip-hop
Nintendocore,music genre,2001,hardcore punk
Nivkh music,music genre,,music of North Asia
Njuup,music genre,,religious music
No-Fi,music genre,1993,lo-fi music
Noha,Shia elegy about the tragedy of battle of Karbala,,Islamic music
Nordeste,music genre,,
Nordic folk music,music genre,,music of the Nordic countries
Nordic folk rock,music genre,,folk rock
Nordic jazz,music genre and scene,,European jazz
Nordic tone,national tone that is perceived by contemporaries and today's recipients in relation to composers and musicians from Northern Europe,1870,
Norsecore,music genre,,black metal
Nortec,electronic music genre from Mexico,1999,electronic dance music
North American folk music,music genre,,traditional folk music
Northern band style,music genre,,rock music
Northern soul,"music and dance movement that emerged, initially in Northern England in the late 1960s",1968,soul
Northern soul (US),American music genre,,soul
Northumbrian folk music,music genre,,English folk music
Northwest Iberian folk music,music genre,,Spanish folk music
Northwest Wind,music genre,,music of China
Northwest hip hop,music genre or scene,,Canadian hip-hop
Norwegian folk music,overview of folk music traditions in Norway,,music of Norway
Norwegian folk tune,music genre,,Norwegian folk music
Norwegian hip hop,music genre or scene,,music of Norway
Norwegian new wave,Norwegian music genre based on new wave,,new wave
Norwegian pop,Norwegian music genre based on pop music,,pop music
Norwegian rock,music genre or scene,,rock music
Norwegian vocal folk music,musical term used to describe Norwegian vocal folk song tradition as a whole,,traditional folk song
Note nere,music genre,,madrigal
Novaya Scena,Ukrainian musical subculture,,music of Ukraine
Noël varié,music genre; type of French Christmas music,,Christmas music
Nu,Name of a music style,,
Nubian music,music genre,,music of Northeast Africa
Nuer music,music genre,,music of Northeast Africa
Nueva ola,music genre,1955,rock and roll
Nusach,Jewish music style,,Jewish music
Nuyorican rap,music genre,,hip-hop
Nyabinghi chanting,type of religious chanting,,chant
O'odham music,music genre,,indigenous music of North America
Ob-Ugric folk music,music genre,,traditional folk music
Occitan chanson,music genre,,
Occitan folk music,genre of popular music that developed in Occitania,,music of Occitania
Occitan traditional song,music genre,,traditional folk song
Oceanic folk music,music genre,,traditional folk music
Ode for St. Cecilia,music genre,,choral music
Odia folk music,music genre,,Indian folk music
Odissi music,ancient classical music of the Indian state of Odisha,200,Indian classical music
Okinawan music,music associated with the Okinawa Islands or Okinawa Prefecture,,Ryukyuan music
Okinawan pop,music genre,,pop music
Old Roman chant,liturgical vocal music of the Roman rite of the Early Christian Church,,music of Italy
Old time fiddle,genre of American folk music,,American folk music
Oltului,"type of Romanian folk song, or Doina, sung near the area of the River Olt",,
Oppari,music genre,,funeral music
Oromo music,music genre,,music of Northeast Africa
Orthodox pop,music genre,,pop music
Ossetian folk music,music genre,,Caucasian folk music
Ossetian music,music genre,,music of Georgia
Ottoman classical music,traditional music of the Ottoman Empire,,music of Turkey
Ovi (music),"form of wedding music predominantly seen among the Hindu and Catholic community in Goa, India",,
Owerri bongo,subgenre of igbo highlife,,Igbo highlife
P-Funk,"repertoire, musical style, and/or group of performers associated with George Clinton",1974,psychedelic funk
Pacific reggae,music genre,1975,reggae
Paisley Underground,music genre,1982,neo-psychedelia
Pakacaping music,music genre,,Austronesian music
Pakistani folk music,music genre,,South Asian folk music
Pakistani hip hop,music genre or scene,,Asian hip-hop
Pakistani popular music,music genre or scene,,popular music
Pakistani rock,music genre or scene,,rock music
Palenquero music,musical tradition from Columbia,,music of Colombia
Palestinian hip-hop,music genre or scene,,Middle Eastern hip hop
Palestinian pop,music genre,,Arabic pop
Palingsound,music style in the Netherlands,,Nederpop
Palm Desert Scene,"music culture in Southern California often described as ""desert rock.""",,stoner rock
Palo de Mayo,music genre and type of dance,,music of the Caribbean
Palo music,music genre,,music of the Dominican Republic
Pambiche,music genre and type of dance,,merengue
Pamiri music,music genre,,music of Badakhshan
Pandero song,music genre,,traditional folk song
Pandilla Punoan,"dance of Puno, Peru",,folk dance
Panting,Banjarese traditional musical genre,,Indonesian folk music
Papare,music genre,,
Papuan folk music,music genre,,music of Papua New Guinea
Paraguayan polka,Folk music,,folk dance
Paraguayan rock,music genre or scene,,rock music
Paranda,music genre,,
Parranda,Puerto Rican winter holiday celebration,,holiday music
Paschen,music genre,,
Pashto folk music,music genre,,South Asian folk music
Pashto music,music of the Pashtun people,,music of Afghanistan
Pasillo ecuatoriano,music genre,,pasillo
Passayang-sayang,music genre or performing arts genre,,music of Indonesia
Patingtung,music genre,,performing arts
Patua Sangeet,ancient folk music of Bengal,,
Pennsylvania Dutch folk music,music genre,,American folk music
Pentecostal music,Brazilian subgenre of Contemporary Christian music,,contemporary Christian music
Persian ritual music,music genre,,music of Iran
Persian traditional music,"music's characteristics developed through the country's classical, medieval, and contemporary eras",,music of Iran
Peruvian cumbia,Peruvian musical style derived from the Colombian cumbia,1968,cumbia
Peruvian folk music,music genre,,music of Peru
Peruvian hip hop,Peruvian cultural movimient,,hip-hop
Peruvian rock,music genre or scene,,rock music
Peruvian waltz,Peruvian musical genre,,waltz
Peyote song,Ceremonial songs performed by Native American Church leaders during a peyote ceremony,,ritual song
Phagua,style of Bhojpuri folk music,,Bhojpuri folk music
Philadelphia hardcore,music genre or scene,,hardcore punk
Philadelphia soul,style of soul music,,soul
Philippine classical music,music genre,,music of the Philippines
Philippine folk music,music genre,,music of the Philippines
Philippine rondalla,music genre,,music of the Philippines
Philly club,music genre,2007,East Coast club
Philly club rap,music genre,,hip-hop
Philosophical song,song genre,,song
Phleng Lae,Thai song genre,,
Phleng phuea chiwit,Thai folk-rock protest music for working-class democracy,1973,folk rock
Pichakaree,music genre,,
Picota,music genre and type of dance,,Mexican folk dance
Piedmont blues,A style of blues music originated in the East Coast of the United States,,country blues
Pinoy Jazz,Music genre in the Philippines,,jazz
Pinoy folk rock,music genre,1977,folk rock
Pinoy hip hop,music genre and scene,,music of the Philippines
Pinoy pop,Philippine popular music genre,,pop music
Pinoy reggae,music genre,,reggae
Pinoy rock,brand of rock music produced in the Philippines or by Filipinos,,rock music
Piphat in twelve languages,music genre,,piphat
Pizmonim,Jewish songs and melodies,,Jewish music
Playground song,music genre,,
Pogi rock,slang term for Filipino rock bands considered good-looking or stylish,,
Polca canaria,music genre,,
Polish Goral music,music genre,,Polish folk music
Polish folk music,music genre,,music of Poland
Polish hip hop,music genre or scene,,music of Poland
Polish jazz,music genre or scene,,jazz
Polish pop,music genre and scene,,music of Poland
Polish reggae,music genre or scene,,reggae
Polish rock music,music genre or scene,,rock music
Polish urban folk music,music genre,,popular folk music
Politrock,German rock music with political lyrics,,rock music
Polo,music genre,,
Polska,Nordic dance and music genre,,folk dance
Polyphonic Era,music genre,,early music
Polyphonic song of Epirus,music genre,,polyphony
Pontic Greek music,music genre,,music of Greece
Pop music in Brazil,Pop music made in or associated with Brazil,,
Porirock,Music by rock musicians from Pori,,rock music
Portuguese folk music,music genre,,music of Portugal
Portuguese rock,music genre or scene,,rock music
Posi music,"Short for ""positive music""",,
Posse mit Gesang,"form of popular German-language music drama, farce",,play
Powada,music genre,,Marathi poetry
Preaching Chords,music genre,,
Prose,music genre,,chant
Prostopinije,music genre,,religious vocal music
Protestant hymn,Christian hymn sung within Protestant denominations,,chorale
Pueblo music,music of the Puebloan peoples,,indigenous music of North America
Puerto Rican hip-hop,music genre and scene,1985,music of Puerto Rico
Pukllay,Peruvian dance,,festival
Pum pin,musical genre from Ayacucho,,
Pungmul as Protest,music genre,,Korean folk music
Punjabi folk music,music genre,,music of Punjab
Punjabi pop,music genre,,Indian pop
Punto,musical genre typical of East Venezuela,,
Punto guanacasteco,dance and musical genre indigenous to Costa Rica,,folk dance
Punto music,music genre and type of dance,,music of Panama
Purple music,Vietnamese music genre,,music of Vietnam
Pygmy music,music genre,,African folk music
Pyonkobushi,music genre,,
Péilú,music genre,,Japanese folk song
Q'axilu,music genre and type of dance,,indigenous American dance
Q-pop,Kazakh electronic pop music,2015,music of Kazakhstan
Qaraami,music genre,,music of Somalia
Qaytarma,form of Crimean Tatar folk dance and folk music,,folk dance
Quaker music,music genre,,religious music
Qudud Halabiya,traditional Syrian song genre,,traditional folk music
Quebec chanson,music genre,,chanson
Quebec fiddle,music genre,,
Quebec hip hop,Canadian hip hop music genre and scene,,Canadian hip-hop
Quebradita,music genre and type of dance,,dance
Quechua music,music genre,,music of Latin America
Quickstep (march music),type of march music,,
Quranic cantillation,music genre,,cantillation
R'n'Besk,music genre,,arabesque
RKT,music style,,reggaeton
Rabindra Sangeet,songs composed by Rabindranath Tagore,,song
Radio Pop,type of pop music,,pop music
Rage aria,operatic aria expressing rage,,aria
Rajasthani folk music,music genre,,music of Rajasthan
Rampak Kendang,music genre,,music of Indonesia
Rampur-Sahaswan gharana,genre in Hindustani classical music,,Hindustani classical music
Rapfrobeat,a genre of music,,
Rawa Sagele,music genre,,traditional folk music
Raï'n'B,music genre,2004,raï
Rebetiko,Greek music genre,1850,Greek folk music
Rebita,music genre and type of dance,,dance
Rechtsrock,music genre,,rock music
Renaissance music,musical period between the 15th and 17th centuries,1400,classical music
Rera,music genre,,Croatian folk music
Retrosound,music genre,,
Rieldans,"South African ancient celebratory dance performed by the San (also known as Bushmen), Nama and Khoi",,folk dance
Riff-rock,music genre,,rock music
Ringa,music genre,,Japanese folk song
Ringbang,music genre,,
Rioplatense music,music genre,,music of South America
RnBass,music genre,2014,contemporary R&B
Rock Against Communism,music genre associated with far-right movements,1977,oi!
Rock identitaire français,music genre,,rock music
Rock in Opposition,music genre; movement representing progressive bands in the late 1970s united in opposition to the music industry,1978,avant-prog
Roma jazz,music genre,,jazz
Roman Catholic Marian music,music genre,,Catholic music
Romani folk music,music genre,,traditional folk music
Romani hip hop,music genre or scene,,hip-hop
Romani music,music of the Romani people,,music of the Balkans
Romanian church music,church music in Romania,,church music
Romanian etno music,music genre,,music of Romania
Romanian folk music,traditional folk music genre of Romania,,music of Romania
Romanian hip hop,music genre or scene,,music of Romania
Romanian muzica populara,modern popular folk music of Romania,,music of Romania
Romanian peasant music,music genre,,Romanian folk music
Romanian rock,music genre or scene,,rock music
Romantic music,music of the Romantic period,,classical music
Romanza,variant of the medieval Spanish musical romance,,medieval music
Romo,1990s music movement,,
Rondellus,music genre,,
Ruba'i,Arabic-Persian poem in fixed form,,poetry
Russ music,music genre or scene,,music of Norway
Russendisko,music genre,,
Russian Orthodox bell ringing,Tradition in the Russian Orthodox church,,peal of bells
Russian ballad,music genre,,music of Russia
Russian chamber song,"genre of Russian chamber vocal music popular in the second half of the 18th and early 19th centuries, a type of urban domestic poetry",,Russian song
Russian chanson,"a term applied to a variety of genres of Russian music: thieves song, urban romance, war, emigrants and some popular songs",,popular music
Russian classical music,genre of classical music,,classical music
Russian estrada music,music genre,,music of Russia
Russian folk music,ethnic music of the Russian people,,Slavic folk music
Russian folk song,song folklore of the Russian people,,Russian song
Russian hip-hop,hip-hop in Russian or by Russian artists,,music of Russia
Russian indie music,music genre or scene,,independent music
Russian jazz,Jazz music in Russia and the Soviet Union,,jazz
Russian liturgical music,music genre,,Russian religious music
Russian music,music of the Russian people (ethnic group),,music of Russia
Russian pop,Russian-language pop music produced either in Russia or other countries,,music of Russia
Russian post-chanson,musical genre that emerged in the 2000s in Russia as a result of the development of the Russian chanson in the 1990s.,,Russian chanson
Russian post-punk,Russian rock and punk subgenre,,post-punk
Russian religious music,music genre,,Christian music
Russian rock,rock music of Russia and Soviet Union,1965,rock music
Russian romance,type of sentimental sung poetry that was developed in Imperial Russia,1900,Russian music
Russian song,"song genre including folk, sacred and urban songs, as well as ballads of the Russian people",,song
Russian urban romance,genre of Russian songs of the end of the XIX — first half of the XX century,,Russian romance
Rusyn folk music,music genre,,Slavic folk music
Rwayes music,"Music genre in Souss region, Morocco",,music of Morocco
Ryukyu classical music,music genre,,Okinawan music
Ryukyuan music,"umbrella term that encompasses diverse musical traditions of the Amami, Okinawa, Miyako and Yaeyama Islands of southwestern Japan, also referring to the musical traditions of the ancient Ryukyu Kingdom",,music of East Asia
Ryūkōka,music genre,,music of Japan
Saami-language music,music in any one of the Saami languages,,music
Sabadell Sound,music genre,,Italo disco
Sabanera music,indigenous music of Savannah region of Colombia,,
Sacred Harp,"tradition of sacred choral music, originating in New England in the 18th century and carried on in the Southern U.S., using tunebooks printed in shape notes",1800,music of the United States
Sacred Steel,gospel musical genre,,black gospel music
Sadra,music genre,,Hindustani classical music
Sahari,"traditional musical culture, instrumental performing arts, ritual music",,music of Armenia
Sahrawi music,the modern and traditional music of the Sahrawi people of Western Sahara and the refugee camps across the border in Algeria,,Berber music
Saint Petersburg school,music genre or scene,,Romantic music
Saint Thomas Christian music,music genre,,Christian music
Sakara music,"Yoruba praise song genre originating in 1930s Lagos, featuring nasalized melismatic vocals influenced by Arabic and East African traditions, accompanied by the goje spike fiddle and the small round sakara drum",1930,
Salegy,music genre and type of dance,1960,music of Madagascar
Saloma,music genre,,
Salvadoran hip hop,music genre or scene,,music of El Salvador
Sama'i,music genre,,
Sambalpuri music,folk music of the Indian state of Odisha,,Indian folk music
Sami music,music within Sami culture,,music of the Nordic countries
Samoan hip-hop,music genre or scene,,hip-hop
Samoyedic folk music,music genre,,traditional folk music
San Diego sound,1990s punk music scene,,American punk rock
San Francisco Sound,music genre or scene,,psychedelic rock
San'a,traditional Arab-Andalusian music of Algiers,,
Sanedo,music genre,,Gujarati folk music
Sangeet Natak,Musical Drama,,
Sangini,Nepali dance form,,Nepalese dance
Sangita,Indian music-related performance arts,,music of India
Santería music,music genre,,music of Cuba
Santo Daime hymns,music genre and type of dance,,dance
Sardinian folk music,music genre,,Italian folk music
Sari gan,Form of folk song in Bengal,,traditional folk music
Sarum chant,liturgical chant of the Sarum Use,,Gregorian chant
Sarva,music genre,,
Sasanian music,music of the Sassanid Empire,,Persian traditional music
Satsuma biwa,music genre,,katarimono
Saudi Arabian hip hop,music genre and scene,,Middle Eastern hip hop
Sawani,music genre from India,,
Scandinavian death metal,music genre or scene,,death metal
Scandinavian metal,music genre or scene,,music of Scandinavia
Scandinavian pop,music genre and scene,,pop music
Schaffel,music genre,2000,techno
Schrammelmusik,music genre,,Wienerlied
Schuhplattler,traditional style of folk dance popular in the Alpine regions of Bavaria and Tyrol,,folk dance
Schweinerock,music genre,,rock music
Schwobarock,variant of rock music with texts in Swabian or in related Alemannic dialects,,rock music
Scots song,music genre,,traditional folk song
Scottish Gaelic punk,genre of Celtic music,1978,punk rock
Scottish country dance music,music genre,,Scottish folk music
Scottish court music,music genre,,classical music
Scottish folk music,genre of traditional music from Scotland,,music of Scotland
Scottish folk revival music,music genre or scene,,folk revival music
Scottish hip-hop,music genre or scene,,UK rap
Scrumpy and Western,music genre,,musical comedy
Seis,type of Puerto Rican Jiabro dance music,,
Sekete,Surinamese dance and music style,,dance
Selichot,type of Piyyut about asking forgiveness from G-d,,piyyut
Seminole music,Indigenous music genre of North America,1750,indigenous music of North America
Senegalese hip hop,music genre or scene,,African hip-hop
Senshuraku,music genre,,Japanese folk song
Sephardi music,music genre,,Jewish music
Sephardic music,umbrella term used to refer to the music of the Sephardic Jewish community,,Jewish music
Sepolcro,music genre,1700,
Serbian folk music,overview of folk music traditions iof the Serbian people,,music of Serbia
Serbian hip-hop,music genre or scene,,music of Serbia
Serbian pop,music genre or scene,,pop music
Serbian pop-folk,music genre,,music of Serbia
Serbian rock,Serbian appreciation of and contributions to the rock music genre,,rock music
Serbian traditional folk music,Wikimedia duplicated page,,
Setsuna-kei,music genre,,music of Japan
Sevillanas rocieras,"designation of intangible heritage of Almonte, Spain",,
Shanto,music genre,,music of Guyana
Shehhi music,music genre,,Khaliji
Shetland & Orkney folk music,music genre,,Scottish folk music
Shibuya-kei,musical genre originating from Japan,1993,pop music
Shilluk music,music genre,,music of Sudan
Shingaku,Japanese traditional music based on Xing-era Chinese music,,traditional Japanese music
Shinto music,music genre,,religious music
Shona music,music genre of the Shona people of Zimbabwe,,music of Southern Africa
Shonan Sound,music genre,,
Shyama Sangeet,genre of Bengali devotional songs,,
Siberian punk,music genre,,punk rock
Siddhar song,music genre,,music of Tamil Nadu
Sikh music,"musicology of Sikh Sacred Music, used in the Guru Granth Sahib",,religious music
Sikuri,music genre and the player of siku panflute,,
Simadan,music and dance style from Bonaire,,
Simpsonwave,"Internet meme and form of art, linked with vaporwave music and culture and The Simpsons animated series",,vaporwave
Sinawi,traditional Korean music,,Korean folk music
Sindhi music,"music from Sindh province, Pakistan; music sung in Sindhi",,
Singapore hip hop,music genre or scene,,music of Singapore
Sinhalese folk music,music genre,,music of Sri Lanka
Sioux music,music genre,,
Siren kings,pasifika subculture in New Zealand,,
Slackness,"vulgarity in West Indian culture, behavior and music",,dancehall
Slavic folk music,music genre,,European folk music
Slavic pagan metal,music genre,,pagan metal
Slavic rite song,folk genre,,Slavic folk song
Slonim niggunim,Hassidic Jewish songs of Slonim (Hasidic dynasty),,nigun
Slovak folk music,music genre,,music of Slovakia
Slovak hip hop,music genre or scene,,music of Slovakia
Slovenian folk music,music genre,,music of Slovenia
Slovenian folk song,music genre,,Slovenian folk music
Slovenian hip hop,music genre or scene,,European hip-hop
Slovenian rock,music genre or scene,1968,rock music
Slovenian-style polka,American style of polka in the Slovenian tradition,,polka
Smyrneiko,Greek music genre,,composed musical work
Sock,Term from jazz,,
Soga music,music genre,,music of East Africa
Son de mariachi,music genre,,son mexicano
Song poem,"song lyrics that have been set to music for a fee, in 20th Century North America",,
Songhai music,music genre,,music of West Africa
Songo-salsa,music genre,1980,
Songs of realization,Musical genre of ancient India,,
Sotho-Tswana folk music,music genre,,Tswana music
Sound of Frankfurt,music genre or scene,,electronic dance music
SoundCloud indie,online music scene and style of indie rock,,
SoundCloud rap,music genre,,hip-hop
South African folk music,music genre,,music of South Africa
South African heavy metal,music genre or scene,,African heavy metal
South African hip hop,music genre or scene,,African hip-hop
South African jazz,"jazz genre rooted in South African urban black culture, blending American jazz with local styles such as marabi and kwela; closely tied to the anti-apartheid struggle",,jazz
South African pop,music genre of the Republic of South Africa,,pop music
South Asian folk music,music genre,,music of South Asia
South Korean folk music,music genre,,Korean folk music
Southeast Asian classical music,music genre,,art music
Southeast Asian folk music,music genre,,music of Southeast Asia
Southeastern Brazilian music,music genre,,music of Brazil
Southern African folk music,music genre of African region,,African folk music
Southern cone music,music genre,,
Southern gospel,subgenre of gospel music,1890,gospel music
Southern hip-hop,blanket term for a regional genre of American hip-hop music that emerged in the Southern United States,1980,American hip-hop
Southern metal,metal genre,,metal music
Southern rock,subgenre of rock music and a genre of Americana,1968,rock music
Southern soul,subgenre of soul,1957,soul
Sovietwave,subgenre of synthwave,,synthwave
Space-themed music,music genre,,
Spanish classical music,music genre or scene,,classical music
Spanish folk music,music genre,,music of Spain
Spanish hip-hop,music genre or scene,,music of Uruguay
Spanish jazz,music genre or scene,,jazz
Spanish musical revue,"scenic and musical genre, referring to the evolution followed in Spain by the international revue and musical comedy",,
Spanish progressive rock,music genre or scene,,progressive rock
Spanish punk rock,music genre or scene,,punk rock
Spanish raw punk,music genre or scene,,raw punk
Spanish rock,music genre or scene,,rock music
Spanish traditional Christian music,music genre,,Christian music
Sraoui,traditional Algerian chant,,singing
Sri Lankan hip hop,music genre or scene,,music of Sri Lanka
St. Louis Bounce,American rap style,,hip-hop
St. Louis blues,music genre,,blues
Stambeli,musical genre and musico-therapeutic possession rite established in certain regions of Tunisia,,
Sthayi,initial phrase or line of a Hindustani musical composition,,
Streichmusik,music genre,,music of Switzerland
Strochnoy chant,music genre,,Russian liturgical music
Stubenmusik,music genre,,Alpine folk music
Sua,folk song sung by Gond women from the state of Chhattisgarh,,Indian folk music
Sufi music,devotional music of the Sufis,,Islamic music
Sufi rock,genre that combines rock music with classical Islamic sufi traditions,1992,rock music
Sufiana kalam,devotional Sufi music,,maqāmic music
Sugama Sangeetha,Indian music genre; variety of Bhavageethe,,bhavageete
Sulukan,mood setting song used in Javanese puppet theatre,,
Sundanese game song,music genre,,children's music
Sundanese music,"Sundanese traditional music, Indonesia",,music of Indonesia
Supraslian chant,music genre,,music of Belarus
Surinamese Indian music,Surinamese music style,,Hindustani classical music
Surinamese Javanese music,overview of Surinamese music by Javanese Surinamese people,,music of Java
Surinamese indigenous music,traditional music in Suriname,,indigenous American folk music
Suyá music,music genre,,music of Brazil
Suzhou pingtan,musical and oral performance art native to China's Jiangnan region,,
Swang,"popular folk theatre form, from India",,
Swazi traditional music,music genre,,music of Eswatini
Swedish classical music,music genre,,classical music
Swedish death metal,death metal music scene developed in Sweden,,death metal
Swedish folk music,folk music tradition of Sweden,,music of Sweden
Swedish gangsta rap,music genre or scene,,Swedish hip hop
Swedish gospel,Swedish music genre,,gospel music
Swedish hardcore punk,music genre or scene,,hardcore punk
Swedish hip hop,music genre or scene,,European hip-hop
Swedish jazz,music genre or scene,,jazz
Swedish pop,music genre or scene,,pop music
Swedish punk,music genre or scene,,punk rock
Swedish rock music,music genre or scene,,rock music
Swedish soul,Swedish music genre,,soul
Swedish vise,music genre,,music of Sweden
Swiss folk music,music genre,,Alpine folk music
Swiss hip hop,music genre or scene,,music of Switzerland
Swiss rock,music genre or scene,,rock music
Swiss wave,music genre,,new wave
Syriac chant,liturgical chant used in Syriac Christianity,,chant
Syriac sacral music,music of the Syriac Christianity liturgy,,religious music
Systems music,music genre,,
Sønderhoning,music genre and type of dance,,dance
T'ong guitar,form of Korean music developed in the early 1970s,1970,music of South Korea
TV track,music genre,2000,theme music
Tabanka,music genre,,
Tagh,music genre,,chant
